date,total,cash,holdings,kospi,kospi_chg_pct
2025-08-29,5424584,24153,5400431,3186.010009765625,-0.32
2025-09-01,5363082,24153,5338929,3142.929931640625,-1.35
2025-09-02,5396019,24153,5371866,3172.35009765625,0.94
2025-09-03,5408440,24153,5384286,3184.419921875,0.38
2025-09-04,5430113,24153,5405960,3200.830078125,0.52
2025-09-05,5447072,24153,5422919,3205.1201171875,0.13
2025-09-08,5457967,24153,5433814,3219.590087890625,0.45
2025-09-09,5506058,18798,5487261,3260.050048828125,1.26
2025-09-10,5540965,18695,5522269,3314.530029296875,1.67
2025-09-11,5584311,18695,5565616,3344.199951171875,0.9
2025-09-12,5690288,12855,5677434,3395.5400390625,1.54
2025-09-15,5657464,49912,5607552,3407.31005859375,0.35
2025-09-16,5658299,49912,5608387,3449.6201171875,1.24
2025-09-17,5606951,49821,5557129,3413.39990234375,-1.05
2025-09-18,5666474,49821,5616653,3461.300048828125,1.4
2025-09-19,5666474,49821,5616653,3445.239990234375,-0.46
2025-09-22,5690411,8956,5681455,3468.64990234375,0.68
2025-09-23,5727456,6783,5720673,3486.18994140625,0.51
2025-09-24,5706424,6783,5699641,3472.139892578125,-0.4
2025-09-25,5742330,6783,5735547,3471.110107421875,-0.03
2025-09-26,5596883,718276,4878607,3386.050048828125,-2.45
2025-09-29,5671911,55776,5616134,3431.2099609375,1.33
2025-09-30,5646158,55656,5590502,3424.60009765625,-0.19
2025-10-01,5677315,55656,5621659,3455.830078125,0.91
2025-10-02,5805231,23934,5781297,3549.2099609375,2.7
2025-10-10,5823065,23804,5799261,3610.60009765625,1.73
2025-10-13,5773468,29195,5744272,3584.550048828125,-0.72
2025-10-14,5773902,29195,5744707,3561.81005859375,-0.63
2025-10-15,5998554,45908,5952646,3657.280029296875,2.68
2025-10-16,6110158,33272,6076885,3748.3701171875,2.49
2025-10-17,6101044,53117,6047928,3748.889892578125,0.01
2025-10-20,6189663,45759,6143903,3814.68994140625,1.76
2025-10-21,6272207,41495,6230713,3823.840087890625,0.24
2025-10-22,6396220,32662,6363558,3883.679931640625,1.56
2025-10-23,6278249,32490,6245760,3845.56005859375,-0.98
2025-10-24,6422595,25078,6397517,3941.590087890625,2.5
2025-10-27,6554077,45014,6509062,4042.830078125,2.57
2025-10-28,6614754,34663,6580092,4010.409912109375,-0.8
2025-10-29,6716821,7128,6709693,4081.14990234375,1.76
2025-10-30,6639857,6378,6633479,4086.889892578125,0.14
2025-10-31,6673184,18400,6654784,4107.5,0.5
2025-11-03,6740754,60080,6680674,4221.8701171875,2.78
2025-11-04,6621054,902954,5718100,4121.740234375,-2.37
2025-11-05,6578371,902954,5675417,4004.419921875,-2.85
2025-11-06,6573679,35824,6537855,4026.449951171875,0.55
2025-11-07,6524722,35824,6488898,3953.760009765625,-1.81
2025-11-10,6625438,35824,6589615,4073.239990234375,3.02
2025-11-11,6679491,35824,6643667,4106.39013671875,0.81
2025-11-12,6718028,20885,6697143,4150.39013671875,1.07
2025-11-13,6797382,1762,6795620,4170.6298828125,0.49
2025-11-14,6676525,1349293,5327231,4011.570068359375,-3.81
2025-11-17,6731729,42226,6689503,4089.25,1.94
2025-11-18,6575200,42226,6532974,3953.6201171875,-3.32
2025-11-19,6535465,42226,6493239,3929.510009765625,-0.61
2025-11-20,6601622,42226,6559396,4004.85009765625,1.92
2025-11-21,6468853,597143,5871710,3853.260009765625,-3.79
2025-11-24,6335246,45060,6290186,3846.06005859375,-0.19
2025-11-25,6168325,46896,6121429,3857.780029296875,0.3
2025-11-26,6325093,11164,6313929,3960.8701171875,2.67
2025-11-27,6305307,11164,6294143,3986.909912109375,0.66
2025-11-28,6143450,11164,6132286,3926.590087890625,-1.51
2025-12-01,6175408,4151,6171257,3920.3701171875,-0.16
2025-12-02,6256437,4151,6252286,3994.929931640625,1.9
2025-12-03,6295466,4151,6291314,4036.300048828125,1.04
2025-12-04,6294266,4151,6290114,4028.510009765625,-0.19
2025-12-05,6338966,4151,6334814,4100.0498046875,1.78
2025-12-08,6416307,1236,6415071,4154.85009765625,1.34
2025-12-09,6427379,1236,6426143,4143.5498046875,-0.27
2025-12-10,6410307,1236,6409071,4135,-0.21
